Scheduler,File,Round,NumChunks,AvgDelay(ms),Goodput(KB/s),DownloadTime(s),OFO_5G,OFO_WiFi
default,64MB.file,1,66053,191.22610290613625,4091.8344980162206,16.142637252807617,328,0
default,64MB.file,2,66053,237.2081498959827,4393.8774904259235,15.032963514328003,70,1
default,64MB.file,3,66053,224.2804646930559,4387.543496908424,15.054665565490723,43,3
default,64MB.file,4,66053,350.1283352884656,4912.562458887448,13.445732355117798,0,7636
default,64MB.file,5,66053,300.54205417553646,4849.772573436377,13.619813919067383,23,1
default,64MB.file,6,66053,333.6390794427123,4651.239538657463,14.201160669326782,6,3056
default,64MB.file,7,66053,339.36441990525464,4663.1087677459245,14.165013790130615,2,1
default,64MB.file,8,66053,241.8950426026809,4690.358813554731,14.082717895507812,0,2395
default,64MB.file,9,66053,328.38698363496525,5143.84398766048,12.841174840927124,0,8327
default,64MB.file,10,66053,319.8943453123988,5058.507683792394,13.057803630828857,0,0
roundrobin,64MB.file,1,66053,285.7623694657814,6080.492781457153,10.863099813461304,26,0
roundrobin,64MB.file,2,66053,251.61415658228069,6614.879051108509,9.98551893234253,0,0
roundrobin,64MB.file,3,66053,259.0457271515692,6547.676041078208,10.088006734848022,0,306
roundrobin,64MB.file,4,66053,325.3589616223143,6213.49118623597,10.630577564239502,15,5
roundrobin,64MB.file,5,66053,245.18267953845046,6784.990207297458,9.735165119171143,0,0
roundrobin,64MB.file,6,66053,252.54402666985777,6632.988902879413,9.958255767822266,2,0
roundrobin,64MB.file,7,66053,250.1681935674765,6663.716892629887,9.912335872650146,69,0
roundrobin,64MB.file,8,66053,307.74798413534927,6186.968100216755,10.67615008354187,0,899
roundrobin,64MB.file,9,66053,228.58518924135325,6856.900925006968,9.633069038391113,2,0
roundrobin,64MB.file,10,66053,252.8393122111526,6987.500044755393,9.453023195266724,0,1253
redundant,64MB.file,1,66053,837.470868006573,2053.8799889820734,32.160106897354126,0,0
redundant,64MB.file,2,66053,933.0703017839885,1912.856964212983,34.531071186065674,0,2918
redundant,64MB.file,3,66053,478.4366581049532,3594.75383147661,18.37483263015747,0,7124
redundant,64MB.file,4,66053,730.2640581478216,2352.465365655146,28.078202962875366,0,1
redundant,64MB.file,5,66053,851.8530404835002,2001.7307240373525,32.997944831848145,8,2099
redundant,64MB.file,6,66053,890.1789720173259,1925.0254018236697,34.31279397010803,0,2
redundant,64MB.file,7,66053,952.2382610075541,1859.0979335189122,35.52959680557251,0,2810
redundant,64MB.file,8,66053,811.3295030892017,2103.8132205465054,31.396798610687256,0,1380
redundant,64MB.file,9,66053,892.3582317209994,1921.367084480898,34.37812614440918,0,4746
redundant,64MB.file,10,66053,971.9531137035514,1767.3705387717227,37.373600244522095,0,1599
blest,64MB.file,1,66053,255.37219659429533,4040.3713152474575,16.348249912261963,46,0
blest,64MB.file,2,66053,252.27438924733207,4187.009109800099,15.775700092315674,14,2
blest,64MB.file,3,66053,225.97609242272122,4572.567015591973,14.445496320724487,0,1403
blest,64MB.file,4,66053,324.9324758273042,4739.421330902412,13.936933517456055,30,0
blest,64MB.file,5,66053,194.15022686439454,4617.342404342842,14.305415153503418,1,0
blest,64MB.file,6,66053,200.48773240900877,5223.379314041475,12.645644903182983,0,0
blest,64MB.file,7,66053,186.33680287824996,4648.517965092553,14.209475040435791,18,0
blest,64MB.file,8,66053,5.500711651228686,2137.948599089724,30.895504236221313,6,0
blest,64MB.file,9,66053,6.246735921045466,2342.39516743116,28.198914051055908,0,2853
blest,64MB.file,10,66053,7.18944038397004,2310.804492079421,28.58441734313965,11,0
ecf,64MB.file,1,66053,18.595960646172472,2362.376841632508,27.960399389266968,29,0
ecf,64MB.file,2,66053,67.98263780986211,2165.591602581419,30.501134157180786,1,0
ecf,64MB.file,3,66053,974.9383115372109,1726.8416745691254,38.25075626373291,0,1577
ecf,64MB.file,4,66053,150.38740647371003,3893.2992666040855,16.965816259384155,64,0
ecf,64MB.file,5,66053,281.5038450260234,5251.013334962833,12.579095840454102,5,3
ecf,64MB.file,6,66053,133.11840397345026,4145.209130334627,15.934781074523926,10,8
ecf,64MB.file,7,66053,223.94036974908437,4800.594198719797,13.75933837890625,0,0
ecf,64MB.file,8,66053,162.55551691667324,4547.27424484425,14.525844812393188,0,0
ecf,64MB.file,9,66053,292.10860488499696,5386.317312829091,12.263109683990479,30,0
ecf,64MB.file,10,66053,217.06471465483006,4618.007537394017,14.303354740142822,0,0
default,64MB.file,11,66053,242.2363936252284,4667.83699318406,14.150665521621704,124,0
default,64MB.file,12,66053,121.7339969812193,4152.7435577405695,15.905870199203491,15,0
roundrobin,64MB.file,11,66053,228.68013550521852,8087.223068069712,8.167574882507324,0,0
roundrobin,64MB.file,12,66053,233.41927445651513,7420.5750891840025,8.901331663131714,0,5045
redundant,64MB.file,11,66053,834.0989557682079,2052.718915896486,32.17829751968384,13,0
redundant,64MB.file,12,66053,888.6663541117691,1943.9209923441065,33.97926163673401,0,0
blest,64MB.file,11,66053,208.72771354645147,5074.2427435681775,13.017311811447144,0,784
blest,64MB.file,12,66053,293.0068224977567,5462.656981964734,12.091734886169434,1,0
ecf,64MB.file,11,66053,252.01564527952274,5196.088321195058,12.71206259727478,0,1253
ecf,64MB.file,12,66053,272.84467086213317,5002.564642308049,13.203827381134033,20,394
default,64MB.file,13,66053,260.13789815750965,5256.7209423416,12.56543779373169,40,0
default,64MB.file,14,66053,245.88957027510207,5213.17002932623,12.670409679412842,1,0
roundrobin,64MB.file,13,66053,515.5734823410378,5460.073060737602,12.09745717048645,0,362
roundrobin,64MB.file,14,66053,496.81891161363194,5535.821000948725,11.931924819946289,0,656
redundant,64MB.file,13,66053,1195.5570277912461,1746.3122331291952,37.824278354644775,15,1272
redundant,64MB.file,14,66053,993.5736226585778,2021.212881189212,32.679882764816284,0,0
blest,64MB.file,13,66053,1119.4989855546853,2804.324436528868,23.55397939682007,0,484
blest,64MB.file,14,66053,279.7643503785348,4397.613027670691,15.020193815231323,0,1169
ecf,64MB.file,13,66053,1584.9618098810633,2392.4410246649013,27.609040021896362,0,542
ecf,64MB.file,14,66053,367.13998097863606,4435.738223676858,14.891095161437988,14,0
