Scheduler,File,AvgChunks,AvgDelay(ms),AvgGoodput(KB/s),AvgDownloadTime(s)
default,8MB.file,8257.0,378.6734346184413,3562.2615786507768,2.392827033996582
default,256MB.file,264209.0,356.17014023808713,4797.187303785122,55.081470251083374
roundrobin,8MB.file,8257.0,305.6006393031836,5006.4727722269745,1.6560169458389282
roundrobin,256MB.file,264209.0,293.5922094019461,5857.951802326088,45.105557680130005
redundant,8MB.file,8257.0,399.5942843657682,3828.3131556753087,2.1593631505966187
redundant,256MB.file,264209.0,400.6023938704519,4313.451573194716,61.36720871925354
blest,8MB.file,8257.0,372.87703361120845,4229.306446336246,1.9792296886444092
blest,256MB.file,264209.0,357.912909244677,4795.492449438915,55.09602892398834
ecf,8MB.file,8257.0,383.0983689438565,3985.877902444851,2.071856141090393
ecf,256MB.file,264209.0,332.00858175546773,5137.432459167641,51.42822444438934
